amount_scaled,time_scaled,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Class
0.143645637,0.658724844,-0.379211051,0.969954209,0.32129381,-0.363955729,0.823406842,-0.943439256,1.287788766,-0.402026513,-0.369739322,-0.675564324,1.271737514,-0.047748601,-0.756410689,-0.712918173,0.183063226,0.082409801,0.215584168,1.227058925,0.254117643,-0.012794179,0.291059647,1.008758152,-0.445218203,0.008838053,0.067100083,-0.108609591,-0.149234004,-0.061218971,0
-0.29791099,-0.645437564,0.26961409,3.549755129,-5.810353445,5.809369574,1.538807934,-2.269219136,-0.824203333,0.351069915,-3.759059456,-4.592389806,5.47939151,-5.657857541,-2.64807609,-10.38488974,-0.225946408,-0.701882909,0.409735841,0.939603694,-1.954299955,0.310524633,0.371121111,-0.32228952,-0.549855883,-0.520628959,1.378210387,0.564714293,0.553254714,0.402400009,1
-0.296653392,0.830214171,-1.067713272,5.262312109,-8.438567066,7.3164873,0.008253573,-2.12593632,-3.307035735,1.869837523,-4.522583624,-5.172811823,5.591126194,-5.640417458,0.784510039,-12.04380562,0.353814875,-1.920558168,-1.879928279,0.679751299,0.797641375,0.821404549,0.547789787,-0.491959822,0.055914134,-1.145368535,0.068951346,0.535054735,0.539263072,0.124255056,1
-0.167679732,-0.526650924,-0.400512731,0.712060135,1.773254438,0.689722058,-0.131094237,-0.651088173,0.391842226,0.014047565,-0.575885605,-0.249374174,0.233748282,-0.099472348,-0.403582892,0.388741056,1.621442634,-0.638674137,0.450937648,-0.614213974,0.365640715,0.057005586,0.087141518,0.237855213,0.062346492,0.619010243,-0.619860692,0.330433331,0.124029782,0.147543252,0
-0.183050374,0.690163183,-5.256433834,0.364541283,-5.412085016,2.400031491,0.697301199,-1.998755028,-5.835532442,-0.887739383,-2.828286641,-4.614507733,2.710696679,-3.158155698,1.083609148,-3.415151948,-1.053870032,-3.751030733,-9.261640987,-2.955165222,0.606570797,-0.40368491,-0.648259077,0.511284975,-1.110044523,0.178986971,0.220235348,-0.69980855,0.580486717,-0.17362987,1
-0.29343953,-0.035233027,-0.448811468,1.718671435,0.134271715,1.214940128,0.160710935,-0.863601147,0.39898885,0.376450803,-0.774563434,-0.923304951,0.518180746,0.33859078,0.638730214,-1.222954736,1.310799035,-0.029719432,1.636401401,0.214114313,-0.429575605,0.037465353,0.083793773,0.380285303,-0.034567776,0.281331788,-0.164580183,-0.302029719,0.24480981,0.081875483,0
1.181443443,-0.508452872,-15.14044962,7.378042412,-16.35636736,9.194934914,-13.46616329,-2.958430501,-16.16553862,10.07525395,-7.901821126,-13.00940281,4.828235332,-11.05840142,1.998125576,-8.592047402,0.540385309,-10.6157453,-21.01789834,-8.397393052,3.18355895,-1.691481988,3.147428105,0.341677595,-1.150162471,0.795189735,-0.194542181,0.145963569,-2.458680348,-1.189887881,1
-0.29343953,0.190697729,-23.98474665,16.69783169,-22.20987482,9.58496862,-16.23043879,2.596332658,-33.23932817,-21.56003945,-10.84252587,-19.83614885,3.223232703,-10.89513351,-1.523452403,0.116303256,-3.098805327,-7.606424575,-18.10826102,-7.511866158,-1.243285157,5.804550661,-12.61502286,5.774087269,2.75022145,0.5134111,-1.608803804,-0.459624388,-4.626126608,-0.334560721,1
3.045203661,-0.942562765,-2.303349568,1.75924746,-0.359744743,2.330243051,-0.821628328,-0.075787571,0.562319782,-0.399146578,-0.238253368,-1.525411627,2.032912158,-6.560124295,0.022937323,-1.470101536,-0.698826069,-2.282193829,-4.781830856,-2.615664945,-1.334441067,-0.430021867,-0.294166318,-0.932391057,0.172726296,-0.087329538,-0.156114265,-0.542627889,0.039565989,-0.153028797,1
-0.296793125,-0.576921721,-2.019000719,1.491269729,0.005221816,0.81725327,0.973252234,-0.639268313,-0.974072997,-3.146928891,-0.003159074,-0.121653218,0.024369606,-1.07381224,-2.002769109,-0.895433621,1.748936301,-0.103527024,2.03119575,0.317598357,0.386760637,-1.029964682,2.839596108,-1.185442841,-0.142811876,-0.086102938,-0.329113254,0.523601226,0.626282771,0.152439938,1
